90780 ns [HARV] 
178680 ns [HARV] 
626180 ns [HARV] TRAP
1441620 ns [HARV] 70000404
2257340 ns [HARV] 00000007
2710740 ns [HARV] 0001
3527040 ns [HARV] 700000EC
4343060 ns [HARV] 00135313
5159360 ns [HARV] 700100EC
5431800 ns [HARV] 2E
6247820 ns [HARV] 00000001
7063980 ns [HARV] 0000076E
7880000 ns [HARV] 00000000
7977780 ns [HARV] 
8425280 ns [HARV] TRAP
9240720 ns [HARV] 70000404
10056440 ns [HARV] 00000007
10509840 ns [HARV] 0001
11326140 ns [HARV] 700000EC
12142160 ns [HARV] 00135313
12958460 ns [HARV] 700100EC
13230900 ns [HARV] 2E
14046920 ns [HARV] 00000001
14863080 ns [HARV] 0000076E
15679100 ns [HARV] 00000000
15776880 ns [HARV] 
16224380 ns [HARV] TRAP
17039820 ns [HARV] 70000404
17855540 ns [HARV] 00000007
18308940 ns [HARV] 0001
19125240 ns [HARV] 700000EC
19941260 ns [HARV] 00135313
20757560 ns [HARV] 700100EC
21030000 ns [HARV] 2E
21846020 ns [HARV] 00000001
22662180 ns [HARV] 0000076E
23478200 ns [HARV] 00000000
23575980 ns [HARV] 
24023480 ns [HARV] TRAP
24838920 ns [HARV] 70000404
25654640 ns [HARV] 00000007
26108040 ns [HARV] 0001
26924340 ns [HARV] 700000EC
27740360 ns [HARV] 00135313
28556660 ns [HARV] 700100EC
28829100 ns [HARV] 2E
29645120 ns [HARV] 00000001
30461280 ns [HARV] 0000076E
31277300 ns [HARV] 00000000
31375080 ns [HARV] 
31822580 ns [HARV] TRAP
32638020 ns [HARV] 70000404
33453740 ns [HARV] 00000007
33907140 ns [HARV] 0001
34723440 ns [HARV] 700000EC
35539460 ns [HARV] 00135313
36355760 ns [HARV] 700100EC
36628200 ns [HARV] 2E
37444220 ns [HARV] 00000001
38260380 ns [HARV] 0000076E
39076400 ns [HARV] 00000000
39174180 ns [HARV] 
39621680 ns [HARV] TRAP
40437120 ns [HARV] 70000404
41252840 ns [HARV] 00000007
41706240 ns [HARV] 0001
42522540 ns [HARV] 700000EC
43338560 ns [HARV] 00135313
44154860 ns [HARV] 700100EC
44427300 ns [HARV] 2E
45243320 ns [HARV] 00000001
46059480 ns [HARV] 0000076E
46875500 ns [HARV] 00000000
47003320 ns [HARV] 
47450820 ns [HARV] TRAP
48266260 ns [HARV] 70000404
49081980 ns [HARV] 00000007
49535380 ns [HARV] 0001
50351680 ns [HARV] 700000EC
51167700 ns [HARV] 00135313
51984000 ns [HARV] 700100EC
52256440 ns [HARV] 2E
