90780 ns [HARV] 
539960 ns [HARV] INIT
1443080 ns [HARV] 00000001
2346540 ns [HARV] 00000037
3471880 ns [HARV] START
3565840 ns [HARV] 
4013340 ns [HARV] TRAP
4828780 ns [HARV] 70000404
5644500 ns [HARV] 00000007
6097900 ns [HARV] 0010
6914060 ns [HARV] 700004C8
7730220 ns [HARV] 0027F793
8546240 ns [HARV] 00000007
8818540 ns [HARV] 06
9634560 ns [HARV] 00000002
10451000 ns [HARV] 00029CFC
11267020 ns [HARV] 00000000
11364800 ns [HARV] 
11812300 ns [HARV] TRAP
12627740 ns [HARV] 70000404
13443460 ns [HARV] 00000007
13896860 ns [HARV] 0010
14713020 ns [HARV] 700004C8
15529180 ns [HARV] 0027F793
16345200 ns [HARV] 00000007
16617500 ns [HARV] 06
17433520 ns [HARV] 00000002
18249960 ns [HARV] 00029CFC
19065980 ns [HARV] 00000000
19163760 ns [HARV] 
19611260 ns [HARV] TRAP
20426700 ns [HARV] 70000404
21242420 ns [HARV] 00000007
21695820 ns [HARV] 0010
22511980 ns [HARV] 700004C8
23328140 ns [HARV] 0027F793
24144160 ns [HARV] 00000007
24416460 ns [HARV] 06
25232480 ns [HARV] 00000002
26048920 ns [HARV] 00029CFC
26864940 ns [HARV] 00000000
26962720 ns [HARV] 
27410220 ns [HARV] TRAP
28225660 ns [HARV] 70000404
29041380 ns [HARV] 00000007
29494780 ns [HARV] 0110
30310940 ns [HARV] 700004C8
31127100 ns [HARV] 0027F793
31943120 ns [HARV] 00000007
32215420 ns [HARV] 06
33031440 ns [HARV] 00000002
33847880 ns [HARV] 00029CFC
34663900 ns [HARV] 00000000
34761680 ns [HARV] 
35209180 ns [HARV] TRAP
36024620 ns [HARV] 70000404
36840340 ns [HARV] 00000007
37293740 ns [HARV] 0010
38109900 ns [HARV] 700004C8
38926060 ns [HARV] 0027F793
39742080 ns [HARV] 00000007
40014380 ns [HARV] 06
40830400 ns [HARV] 00000002
41646840 ns [HARV] 00029CFC
42462860 ns [HARV] 00000000
42560640 ns [HARV] 
43008140 ns [HARV] TRAP
43823580 ns [HARV] 70000404
44639300 ns [HARV] 00000007
45092700 ns [HARV] 0010
45908860 ns [HARV] 700004C8
46725020 ns [HARV] 0027F793
47541040 ns [HARV] 00000007
47813340 ns [HARV] 06
48629360 ns [HARV] 00000002
49445800 ns [HARV] 00029CFC
50261820 ns [HARV] 00000000
50393420 ns [HARV] 
50840920 ns [HARV] TRAP
51656360 ns [HARV] 00000001
